,Total Confirmed,date
0,2,2020-01-30
1,0,2020-01-31
2,0,2020-02-01
3,2,2020-02-02
4,2,2020-02-03
5,0,2020-02-04
6,0,2020-02-05
7,0,2020-02-06
8,0,2020-02-07
9,0,2020-02-08
10,0,2020-02-09
11,0,2020-02-10
12,0,2020-02-11
13,0,2020-02-12
14,0,2020-02-13
15,0,2020-02-14
16,0,2020-02-15
17,0,2020-02-16
18,0,2020-02-17
19,0,2020-02-18
20,0,2020-02-19
21,0,2020-02-20
22,0,2020-02-21
23,0,2020-02-22
24,0,2020-02-23
25,0,2020-02-24
26,0,2020-02-25
27,0,2020-02-26
28,0,2020-02-27
29,0,2020-02-28
30,0,2020-02-29
31,0,2020-03-01
32,4,2020-03-02
33,2,2020-03-03
34,44,2020-03-04
35,4,2020-03-05
36,2,2020-03-06
37,6,2020-03-07
38,10,2020-03-08
39,18,2020-03-09
40,30,2020-03-10
41,16,2020-03-11
42,20,2020-03-12
43,20,2020-03-13
44,22,2020-03-14
45,20,2020-03-15
46,28,2020-03-16
47,40,2020-03-17
48,50,2020-03-18
49,54,2020-03-19
50,116,2020-03-20
51,156,2020-03-21
52,138,2020-03-22
53,188,2020-03-23
54,148,2020-03-24
55,172,2020-03-25
56,146,2020-03-26
57,306,2020-03-27
58,272,2020-03-28
59,240,2020-03-29
60,374,2020-03-30
61,618,2020-03-31
62,848,2020-04-01
63,972,2020-04-02
64,1120,2020-04-03
65,1158,2020-04-04
66,1218,2020-04-05
67,968,2020-04-06
68,1146,2020-04-07
69,1130,2020-04-08
70,1626,2020-04-09
71,1742,2020-04-10
72,1708,2020-04-11
73,1516,2020-04-12
74,2486,2020-04-13
75,2062,2020-04-14
76,1772,2020-04-15
77,2122,2020-04-16
78,1844,2020-04-17
79,2742,2020-04-18
80,3160,2020-04-19
81,2478,2020-04-20
82,3074,2020-04-21
83,2584,2020-04-22
84,3334,2020-04-23
85,2816,2020-04-24
86,3670,2020-04-25
87,3214,2020-04-26
88,3136,2020-04-27
89,3804,2020-04-28
90,3410,2020-04-29
91,3604,2020-04-30
92,4792,2020-05-01
93,5128,2020-05-02
94,5904,2020-05-03
95,7312,2020-05-04
96,5942,2020-05-05
97,7204,2020-05-06
98,6688,2020-05-07
99,6678,2020-05-08
100,6350,2020-05-09
101,8622,2020-05-10
102,7184,2020-05-11
103,7124,2020-05-12
104,7452,2020-05-13
105,7982,2020-05-14
106,7616,2020-05-15
107,9588,2020-05-16
108,10098,2020-05-17
109,9256,2020-05-18
110,12308,2020-05-19
111,11440,2020-05-20
112,12046,2020-05-21
113,13072,2020-05-22
114,13330,2020-05-23
115,14222,2020-05-24
116,12828,2020-05-25
117,11814,2020-05-26
118,14492,2020-05-27
119,14508,2020-05-28
120,16276,2020-05-29
121,16728,2020-05-30
122,17578,2020-05-31
123,15448,2020-06-01
124,17624,2020-06-02
125,19376,2020-06-03
126,19694,2020-06-04
127,18944,2020-06-05
128,20816,2020-06-06
129,21764,2020-06-07
130,17072,2020-06-08
131,19962,2020-06-09
132,22312,2020-06-10
133,22270,2020-06-11
134,22612,2020-06-12
135,24078,2020-06-13
136,22808,2020-06-14
137,20064,2020-06-15
138,22170,2020-06-16
139,26216,2020-06-17
140,27658,2020-06-18
141,29480,2020-06-19
142,31836,2020-06-20
143,30302,2020-06-21
144,27120,2020-06-22
145,31312,2020-06-23
146,33736,2020-06-24
147,36410,2020-06-25
148,36510,2020-06-26
149,40284,2020-06-27
150,39220,2020-06-28
151,36678,2020-06-29
152,36510,2020-06-30
153,38860,2020-07-01
154,43894,2020-07-02
155,45436,2020-07-03
156,48036,2020-07-04
157,47884,2020-07-05
158,45000,2020-07-06
159,46296,2020-07-07
160,51122,2020-07-08
161,51580,2020-07-09
162,55498,2020-07-10
163,55508,2020-07-11
164,58212,2020-07-12
165,56356,2020-07-13
166,59834,2020-07-14
167,65214,2020-07-15
168,70936,2020-07-16
169,69648,2020-07-17
170,74822,2020-07-18
171,80470,2020-07-19
172,73612,2020-07-20
173,78340,2020-07-21
174,91202,2020-07-22
175,96886,2020-07-23
176,97776,2020-07-24
177,100144,2020-07-25
178,97864,2020-07-26
179,92968,2020-07-27
180,99262,2020-07-28
181,104958,2020-07-29
182,109936,2020-07-30
183,114972,2020-07-31
184,110234,2020-08-01
185,105344,2020-08-02
186,100982,2020-08-03
187,102564,2020-08-04
188,113252,2020-08-05
189,124340,2020-08-06
190,122910,2020-08-07
191,130312,2020-08-08
192,124234,2020-08-09
193,106032,2020-08-10
194,122504,2020-08-11
195,134132,2020-08-12
196,128282,2020-08-13
197,131220,2020-08-14
198,127972,2020-08-15
199,116192,2020-08-16
200,108596,2020-08-17
201,130048,2020-08-18
202,138392,2020-08-19
203,137036,2020-08-20
204,138058,2020-08-21
205,140134,2020-08-22
206,123498,2020-08-23
207,119392,2020-08-24
208,133746,2020-08-25
209,151990,2020-08-26
210,153654,2020-08-27
211,153314,2020-08-28
212,156958,2020-08-29
213,158922,2020-08-30
214,137532,2020-08-31
215,156336,2020-09-01
216,165730,2020-09-02
217,168318,2020-09-03
218,174214,2020-09-04
219,181212,2020-09-05
220,183450,2020-09-06
221,150030,2020-09-07
222,179710,2020-09-08
223,191072,2020-09-09
224,193524,2020-09-10
225,195310,2020-09-11
226,188828,2020-09-12
227,186440,2020-09-13
228,163818,2020-09-14
229,182194,2020-09-15
230,195720,2020-09-16
231,193574,2020-09-17
232,185946,2020-09-18
233,185148,2020-09-19
234,174790,2020-09-20
235,148986,2020-09-21
236,166724,2020-09-22
237,173406,2020-09-23
238,171842,2020-09-24
239,171434,2020-09-25
240,177518,2020-09-26
241,165540,2020-09-27
242,139338,2020-09-28
243,161000,2020-09-29
244,173496,2020-09-30
245,163570,2020-10-01
